city_name,city_latitude,city_longitude
Blairsville, 37.811160, -89.123690
Blairsville, 38.168380, -88.464220
Blakes, 41.458640, -88.752850
Blanchard Island, 41.354750, -91.062370
Blanding, 42.274740, -90.385960
Blandinsville, 40.556150, -90.865970
Block, 39.968370, -88.085600
Blodgett, 41.377530, -88.190060
Blodgett, 42.176410, -87.826460
Bloomfield, 40.020880, -91.307090
Bloomfield, 39.759480, -87.682520
Bloomfield, 37.452550, -88.875060
Bloomfield, 39.651990, -90.556240
Bloomfield Village, 41.687780, -88.078890
Bloomfield West, 41.679440, -88.139440
Bloomingdale, 41.957530, -88.080900
Bloomington, 40.484200, -88.993690
Bloomington Heights, 40.480590, -89.033690
Blue Blaze Mobile Home Estates, 37.809720, -89.056940
Blue Goose Island, 40.201430, -91.498770
Blue Island, 41.657260, -87.680050
Blue Mound, 39.701150, -89.123140
Blue Point, 38.542550, -88.489220
Blue Point, 39.119490, -88.710060
Blue Ridge, 40.267810, -88.488120
Blueville, 39.662270, -89.392030
Bluff City, 40.180320, -90.230400
Bluff City, 38.963930, -89.046450
Bluff Junction, 38.818380, -89.982600
Bluff Springs, 39.987830, -90.345960
Bluffs, 39.751990, -90.535130
Bluffside, 38.483940, -90.154830
Bluford, 38.330880, -88.725890
Blyton, 40.564210, -90.276510
Boaz, 37.291720, -88.899790
Bobtown, 40.076160, -89.988170
Boden, 41.258370, -90.587080
Bodmann, 39.882810, -88.579230
Bogota, 38.918380, -88.240040
Bogus Island, 41.258920, -91.096810
Bohemian California, 41.850870, -87.697280
Bohleysville, 38.415330, -90.118720
Bolingbrook, 41.698640, -88.068400
Bolivia, 39.742270, -89.347030
Bolton, 42.241970, -89.725390
Bondville, 40.113370, -88.369500
Bone Gap, 38.447550, -87.995870
Boney Island, 42.488630, -89.047330
Bonfield, 41.146700, -88.057830
Bongard, 39.924200, -88.123650
Bonnie, 38.202830, -88.903400
Bonnie Valley, 41.928640, -88.369800
Boody, 39.766430, -89.049240
Boos, 38.930040, -88.110870
Boothby, 38.002270, -88.778670
Borton, 39.655870, -87.933920
Boschome, 42.173640, -88.049520
Boskydell, 37.671160, -89.213690
Boss Island, 37.361720, -88.956730
Boula, 41.624440, -88.022780
Boulder, 38.696710, -89.225630
Boulder Hill, 41.712530, -88.336180
Bourbon, 39.745590, -88.378940
Bourbonnais, 41.153760, -87.887540
Bowen, 40.233380, -91.062640
Bowes, 42.008080, -88.390910
Bowes Bend, 42.010860, -88.414800
Bowmanville, 41.972530, -87.693390
Boy Scout Island, 41.880790, -88.111130
Boy Scout Island, 41.919470, -88.318130
Boyd, 38.413660, -89.013400
Boyle, 39.283380, -90.577340
Boyleston, 38.361440, -88.442550
Boynton, 40.352260, -89.435380
Boystown, 41.943920, -87.647450
Braceville, 41.226980, -88.264780
Bradbury, 39.324200, -88.242820
Braden, 37.996440, -88.616170
Bradford, 41.177260, -89.657600
Bradford Place, 41.683330, -88.122500
Bradfordton, 39.823380, -89.739550
Bradless Subdivision, 42.139170, -87.866670
Bradley, 41.141980, -87.861150
Bradley Subdivision, 41.333920, -88.457570
Braeside, 42.152530, -87.772290
Braeside Subdivision, 42.121670, -87.798060
Braidwood, 41.265030, -88.212280
Brainerd, 41.732810, -87.658380
Breckenridge, 39.698940, -89.447590
Breckenridge, 40.243660, -91.286530
Breckenridge Estates, 41.710830, -88.160830
Breeds, 40.555320, -89.920390
Breese, 38.610600, -89.527030
Bremen, 42.400560, -90.413740
Bremen, 37.971160, -89.747330
Brentwood, 42.152800, -88.048130
Brereton, 40.610870, -90.025950
Brewster Heights, 42.221690, -89.127050
Briar Bluff, 41.459760, -90.363460
Briar Gate, 41.966420, -88.422020
Briar Hill, 38.573110, -90.063160
Briar Island, 40.055330, -90.216510
